ojibwe_word,english_translation,word_class,source,license,orthography,notes,audio_url
abiichigaade,be occupied,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pn ebiichigaadeg; aug abiichigaademagad; pn aug ebiichigaademagak abiitan utilive in s.t., occupy s.t.; hg indabiitaan; pn ebiitang",
abiitaw,"sit up with s.o. (e.g., the deceased at a wake)",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabiitawaa; pn ebiitawaad,
abiiwigamig,living room,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abiiwigamigoon; loc abiiwigamigong; dim abiiwigamigoons,
abwaadan,"roast s.t., cook s.t. over a fire",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwaadaan; pn ebwaadang,
abwaajigan,bread cooked over an open fire,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abwaajiganag; loc abwaajiganing; dim abwaajigaans,
abwaajigan,"roasted meat, roasted fish",ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abwaajiganan; dim abwaajigaans,
abwaajige,roast things,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwaajige; pn ebwaajiged,
abwaanaak,drying rack for strips of meat over a fire,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi abwaanaakoon; loc abwaanaakong; dim abwaanaakoons abwaazh /abwaaN-/ vta roast s.o., cook s.o. over a fire; hg indabwaanaa; prt ebwaanaad abwe vai+o roast (s.t.), cook (s.t.) over a fire; hg indabwe, indabwen; prt ebwed",
abweninjii,have a sweaty hand,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indabweninjii; pn ebweninjiid,
abwewas,cure s.o. over a fire,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwewaswaa; prt ebwewaswaad,
abwewasan,cure s.t. over a fire,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwewasaan; prt ebwewasang,
abwewasigan,fire-cured meat or fish,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abwewasiganan; loc abwewasiganing; dim abwewasigaans,
abwewasige,cure things over a fire,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwewasige; pn ebwewasiged,
abwewin,frying pan,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi abwewinan; loc abwewining; dim abwewinens,
abwezide,have a sweaty foot,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwezide; pn ebwezided,
abwezo,sweat,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indabwez; pn ebwezod abwi HI paddle; pi abwiin; loc abwiing; dim abwiins,
achaab,bowstring,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi achaabiin; loc achaabiing; dim achaabiins,
achigaade,be put in a certain place,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn echigaadeg; aug achigaademagad; pn aug echigaademagak,
achigaazo,be put in a certain place,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn echigaazod,
achige,"put things in a certain place, place a bet",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indachige; prt echiged,
adaam,buy (s.t.) from s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indadaamaa; prt edaamaad,
adaawam,"borrow (s.t.) from s.o., rent (s.t.) from s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"hg indadaawamaa; pn edaawamaad adaawange vai+o borrow (s.t.) from people, rent (s.t.) from people; Isg indadaawange, indadaawangen; pn edaawanged",
adaawaagan,fur for trade,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi adaawaaganan; loc adaawaaganing; dim adaawaagaans adaawaage vai+o sell (s.t.); hg indadaawaage, indadaawaagen; pn edaawaaged adaawe vai+o buy (s.t.); hg indadaawe, indadaawen; pn edaawed",
adaawetamaw,buy (s.t.) for s.o.,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indadaawetamawaa; pn edaawetamawaad,
adaawetamaazo,buy (s.t.) for oneself,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indadaawetamaaz; pn edaawetamaazod adaawewigamig—agaasaabiigizi,
adaawewigamig,store,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adaawewigamigoon; loc adaawewigamigong; dim adaawewigamigoons,
adaawewinini,"store clerk, trader",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adaawewininiwag,
adaawewininiikwe,"store clerk (female), trader (female)",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adaawewininiikweg,
adik,"caribou, reindeer",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adikwag; dim adikoons,
adikameg,whitefish,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adikamegwag; dim adikamegoons,
adim,"catch up to s.o., overtake s.o.",via,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indadimaa; pn edimaad adima* /adima'w-/ vta catch up to s.o. in a boat, overtake s.o. in a boat; Isg indadima'waa; pn edima'waad",
adindan,"catch up to s.t., overtake s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indadindaan; pn edindang,
adoopowin,table,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi adoopowinan; loc adoopowining; dim adoopowinens,
adoopowiniigin,table cloth,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pi adoopowiniiginoon; loc adoopowiniiginong: dim adoopowiniiginoons agadendam vai2 be ashamed, feel shy; Isg indagadendam; prt egadendang",
agadendan,be ashamed of s.t.,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagadendaan; pn egadendang,
agadendaagozi,"be ashamed, be embarrassed",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagadendaagoz; pn egadendaagozid,
agadendaagwad,"be shameful, be embarrassing",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egadendaagwak,
agadenim,"be ashamed of s.o., be embarrassed by s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagadenimaa; pn egadenimaad,
agaji,"be bashful, be shy",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagaj; prt egajid agaji' vta make s.o. ashamed, embarrass s.o.; Isg indagaji'aa; prt egaji'aad",
agajishki,be a shy person,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagajishk; pn egajishkid,
agajiitaw,"be shy in front of s.o., be ashamed before s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagajiitawaa; prt egajiitawaad agamiingpc on the shore, at the water, at the lake agawaate'on ni umbrella; pi agawaate'onan; loc agawaate'oning; dim agawaate'onens",
agawaatese,cast a shadow flying,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egawaatesed,
agawaatese,cast a shadow flying,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egawaateseg; aug agawaatesemagad; pn aug egawaatesemagak,
agawaateshin,"be in shade, be in shadow",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagawaateshin; prt egawaateshing,
agawaateshkan,"shade s.t., cast a shadow on s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagawaateshkaan; pn egawaateshkang,
agawaateshkaw,"shade s.o., cast a shadow on s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagawaateshkawaa; pn egawaateshkawaad,
agawaatesin,"be in shade, be in shadow",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egawaatesing,
agawaateyaa,"there is shadow, there is shade",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egawaateyaag; aug agawaateyaamagad; pn aug egawaateyaamagak,
agazom,embarrass s.o. by speech,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagazomaa; prt egazomaad,
agaamakiing,"overseas, in Europe",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaamashkosiw,"on the other side of the meadow agaamayi'ii pc on the other side of it, across it",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaamaakwaa,"on the other side of the clearing agaami- pn on the other side of, across agaamikanapL on the other side of the road or trail, across the road or trail",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaamindesi,other side of the lodge,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaamindesing,"on the other side of the lodge agaamingpc on the other side of the lake, across the lake",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaamishkode,on the other side of the fire agaasade' vta make s.o. narrow,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagaasade'aa; pn egaasade'aad,
agaasademon,be narrow (as a road or trail),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasademog,
agaasadengwe,have a narrow face,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagaasadengwe; pn egaasadengwed,
agaasadetigweyaa,be narrow (as a river),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasadetigweyaag; aug agaasade tigweyaamagad; prt aug egaasadetigweyaamagak agaasadetoon vti2 make s.t. narrow; Isg indagaasadetoon; prt egaasadetood,
agaasadeyaa,be narrow,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyaag; aug agaasadeyaamagad; pn aug egaasadeyaamagak,
agaasadeyaabikad,be narrow (as something mineral),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyaabikak,
agaasadeyaabikizi,be narrow (as something mineral),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyaabikizid,
agaasadeyaabiigad,be narrow (as something string-like),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyaabiigak,
agaasadeyaabiigizi,be narrow (as something string-like),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyaabiigizid,
agaasadeyiigad,be narrow (as something sheetlike),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasadeyiigak,
agaasadeyiigizi,be narrow (as something sheetlike),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasadeyiigizid,
agaasadeyoonagad,be narrow (as a boat),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadeyoonagak,
agaasadezi,be narrow,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadezid,
agaasadinaa,there is a small hill,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasadinaag; aug agaasadinaamagad; pn aug egaasadinaamagak,
agaasate,be small (as a room or house),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasateg; aug agaasate magad; prt aug egaasatemagak,
agaasaa,be small,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasaag; aug agaasaamagad; pn aug egaasaamagak,
agaasaabaminaagozi,"appear small, look small",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasaabaminaagozid,
agaasaabaminaagwad,"appear small, look small",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasaabaminaagwak,
agaasaabikad,be small (as something mineral),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasaabikak,
agaasaabikizi,be small (as something mineral),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasaabikizid,
agaasaabiigad,"be small (as something stringlike), be fine (as something string-like)",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasaabiigak,
agaasaabiigizi,"be small (as something stringlike), be fine (as something string-like)",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasaabiigizid agaasaakozi —agonjijigaade,
agaasaakozi,be small (as something stick- or wood-like),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasaakozid,
agaasaakwad,be small (as something stick- or wood-like),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasaakwak agaasaatoon vti2 make s.t. small; Isg indagaasaatoon; prt egaasaatood,
agaasendan,"think little of s.t., consider s.t. insignificant",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagaasendaan; pn egaasendang,
agaasendaagozi,be considered insignificant,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagaasendaagoz; pn egaasendaagozid,
agaasendaagwad,be considered insignificant,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"pn egaasendaagwak agaasenim ma think little of s.o., consider s.o. insignificant; Isg indagaasenimaa; pn egaasenimaad",
agaashiinyi,be small,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indagaashiinh; pn egaashiinyid agaasi' vta make s.o. small; Isg indagaasi'aa; pn egaasi'aad,
agaasiminagad,be small (as something balllike),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasiminagak,
agaasiminagizi,be small (as something balllike),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasiminagizid,
agaasiigad,be small (as something sheet-like),vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egaasiigak,
agaasiigizi,be small (as something sheet-like),vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egaasiigiztd,
agaawaa,"hardly, barely",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agaawaadan,"wish for s.t., desire s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagaawaadaan; pn egaawaadang agaawaazh /agaawaaN-/ vta wish for s.o., desire s.o.; Isg indagaawaanaa; pn egaawaanaad",
agidajiw,on top of a mountain,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidajiw*, wagidajiw",
agidakamig,on top of the ground,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidakamig*, wagidakamig",
agidasin,on top of a rock,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidasin*, wagidasin agidaabik /)t on something mineral (e.g., metal, glass, rock); also ogidaabik*, wagidaabik",
agidaajiwan,upstream,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidaajiwan*, wagidaajiwan",
agidaaki,on top of a hill,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidaaki*, wagidaaki",
agidaakiiwe,go uphill,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagidaakiiwe; pn egidaakiiwed,
agidaakiiwebatoo,run uphill,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagidaakiiwebatoo; pn egidaakiiwebatood agidibiigpc on top of the water; also ogidibiig*, wagidibiig agidigamigpc on top of the house; also ogidigamig*, wagidigamig",
agidiskwam,on top of the ice,pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"also ogidiskwam*, wagidiskwam",
agig,phlegm,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agigokaa,have a cold,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagigokaa; pn egigokaad agijayi'ii pc on top of it; also ogijayi'ii*, wagijayi'ii agiji- pn on top of; also ogiji-*, wagiji-",
agim,count s.o.,via,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagimaa; pn egimaad,
agindamaw,"count (s.t.) for s.o., read (s.t.) for s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagindamawaa; pn egindamawaad,
agindamaage,"count (s.t.) for people, read (s.t.) for people",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagindamaage; pn egindamaaged,
agindan,"count s.t., read s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagindaan; prt egindang,
agindaaso,"count, read",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagindaas; pn egindaasod,
agindaasoowigamig,library,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agindaasoowigamigoon; he agindaasoowigamigong; dim agindaasoowigamigoons,
aginjigaade,"be counted, be read",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn eginjigaadeg; aug aginjigaademagad; pn aug eginjigaademagak,
aginjigaazo,be counted,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn eginjigaazod,
aginzo,"be counted, belong to a group",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indaginz; prt eginzod agiw* pr those animate plural demonstrative', also ingiw, igiw*",
agogwaadan,sew s.t. on,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagogwaadaan; pn egogwaadang,
agogwaajigan,"applique piece, trim",ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agogwaajiganan; loc agogwaajiganing; dim agogwaajigaans,
agogwaaso,sew something on,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagogwaas; pn egogwaasod agogwaazh /agogwaaN-/ vta sew s.o. on; Isg indagogwaanaa; pn egogwaanaad agokadoon vti2 stick s.t. on; Isg indagokadoon; pn egokadood agokazh /agokaN-/ vta stick s.o. on; Isg indagokanaa; pn egokanaad,
agoke,"stick on, adhere",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoke; pn egoked,
agoke,"stick on, adhere",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egokeg; aug agokemagad; pn aug egokemagak,
agokiwas,"glue s.o., paste something on s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagokiwaswaa; pn egokiwaswaad,
agokiwasan,"glue s.t., paste something on s.t.",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagokiwasaan; prt egokiwasang,
agokiwasigan,"glue, paste",ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agokiwasiganan; loc agokiwasiganing; dim agokiwasigaans,
agokiwaso,"be glued, be pasted on",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagokiwas; pn egokiwasod,
agokiwate,"be glued, be pasted on",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egokiwateg; aug agokiwatemagad; pn aug egokiwatemagak,
agomo,"float, be suspended in water",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagom; prt egomod,
agon,hold s.o. up against,vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagonaa; pn egonaad,
agonan,hold s.t. up against,vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagonaan; prt egonang,
agonde,"float, be suspended in water",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egondeg,
agongos,"chipmunk, Scandinavian",na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agongosag; dim agongosens,
agongosimo,speak a Scandinavian language,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagongosim; pn egongosimod agonjidoon vti2 soak s.t., put s.t. in to soak; Isg indagonjidoon; pn egonjidood",
agonjijigaade,be put in to soak,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egonjijigaadeg; aug agonjijigaademagad; pn aug egonjijigaademagak agonjijigaazo—agwaa'oodoon,
agonjijigaazo,be put in to soak,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,prt egonjijigaazod,
agonjim,"soak s.o., put s.o. in to soak",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,hg indagonjimaa; prt egonjimaad,
agonjoonaagan,net float,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agonjoonaaganan; loc agonjoonaaganing; dim agonjoonaagaans,
agoodakikwaan,kettle hanger,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoodakikwaanan; loc agoodakikwaaning; dim agoodakikwaanens,
agoodasabii,hang up a net,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoodasabii; prt egoodasabiid,
agoodaw,"hang (s.t.) for s.o., set a snare for s.o.",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoodawaa; pn egoodawaad,
agoode,hang,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egoodeg; aug agoodemagad; pn aug egoodemagak,
agoodoo,set a snare,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoodoo; prt egoodood agoodoon vti2 hang s.t.; Isg indagoodoon; pn egoodood,
agoodwaagan,snare,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoodwaaganan; loc agoodwaaganing; dim agoodwaagaans,
agoodwaaganeyaab,snare wire,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoodwaaganeyaabiln; loc agoodwaaganeyaabiing; dim agoodwaagan eyaabiins,
agoojiganaatig,clothesline pole,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoojiganaatigoon; loc agoojiganaatigong; dim agoojiganaatigoons,
agoojiganeyaab,clothesline,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoojiganeyaabiin; loc agoojiganeyaabiing; dim agoojiganeyaabiins,
agoojige,"hang things, hang up laundry",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoojige; pn egoojiged,
agoojin,"hang, be in the sky (e.g., a star, the sun, or the moon)",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagoojin; pn egoojing,
agoojiwanaanaak,hanging rack for food drying,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agoojiwanaanaakoon; loc agoojiwanaanaakong; dim agoojiwanaanaakoons agoozh /agooN-/ vta hang s.o.; Isg indagoonaa; pn egoonaad,
agoozi,be perched up on something,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagooz; prt egoozid,
agwadaashi,sunfish,na,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agwadaashiwag; dim agwadaashiins,
agwajiing,"outside, outdoors",pc,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,,
agwanem,"put s.o. in one's mouth, hold s.o. in one's mouth",vta,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagwanemaa; pn egwanemaad,
agwanendan,"put s.t. in one's mouth, hold s.t. in one's mouth",vti,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagwanendaan; pn egwanendang,
agwanenjige,"put things in one's mouth, hold things in one's mouth, chew tobacco",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,Isg indagwanenjige; pn egwanenjiged,
agwanogaan,canopy,ni,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pi agwanogaanan; loc agwanogaaning; dim agwanogaanens agwapidoon vti2 tie s.t. on something; Isg indagwapidoon; prt egwapidood,
agwapijigaade,"be tied on, be hitched on",vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egwapijigaadeg; aug agwapijigaademagad; prt aug egwapijigaademagak,
agwapijigaazo,"be tied on, be hitched on",vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egwapijigaazod agwapizh /agwapiN-/ vta tie s.o. on something; Isg indagwapinaa; pn egwapinaad,
agwazhe,be covered with blankets,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagwazhe; pn egwazhed agwazhe' vta cover s.o. with blankets; Isg indagwazhe'aa; prt egwazhe'aad agwazhe'on ni blanket, covering; pi agwazhe'onan; loc agwazhe'oning; dim agwazhe'onens",
agwaabatoo,run ashore,vai,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,"Isg indagwaabatoo; prt egwaabatood agwaabidoon vti2 pull s.t. ashore, pull s.t. from the water; Isg indagwaabidoon; prt egwaabidood",
agwaabikide,burn to the pan,vii,PDF Dictionary Extract,Public Domain,Fiero Double Vowel,pn egwaabikideg; aug agwaabikidemagad; pn aug egwaabikidemagak,
